16	-
3	-
a	-
a.m.	-
aa	-
abbot	+
abductor	+
aberration	-
abhorrence	-
ability	-
abnegation	-
abnormality	-
abolitionism	-
abolitionist	-
abomination	-
aboriginal	-
aborigine	0
abortion	-
abortionist	-
absence	-
absentee	+
absolutism	-
abstractionist	-
abundance	-
abuse	-
abyss	-
ac	-
academia	-
academic	-
academician	-
academy	-
acanthus	-
acceptance	-
access	-
accessibility	-
accident	-
accompanist	+
accomplice	+
accomplishment	-
accord	-
accordionist	-
account	-
accountant	0
accounting	-
accusation	-
accuser	+
ace	-
acetate	-
achievement	-
acidification	-
acknowledgement	-
acknowledgment	0
acolyte	+
acoustic	-
acquaintance	+
acquisition	-
acquittal	-
acre	-
acrobat	-
act	-
action	-
activation	-
active	-
activism	-
activist	0
activity	-
actor	0
actress	0
actuality	-
actuary	-
ad	-
ad-lib	-
addict	-
addiction	-
addition	-
address	+
adherent	0
adjunct	+
adjustment	-
administration	0
administrator	0
admiral	0
admirer	+
admission	-
adoption	-
adorer	+
adrenaline	-
adult	-
adulteration	-
adulterer	-
advance	-
advancer	-
advantage	-
adventure	-
adversary	+
adversity	-
advertisement	0
advertiser	0
advertising	-
advice	-
adviser	+
advisor	+
advisory	0
advocate	+
aerialist	-
aerodrome	-
aerodynamics	-
aeronaut	-
affair	-
affectation	-
affiliate	+
aficionado	+
afp	-
african	-
afterburner	-
aftermath	+
afternoon	-
aftershock	-
agave	-
age	-
agency	0
agenda	-
agent	+
aggression	-
aggressor	+
agitator	0
agreement	-
agriculture	-
aid	-
aide	+
ailment	-
aim	-
air	-
aircraft	-
aire	-
airforce	0
airline	-
airliner	-
airman	-
airplane	-
airport	-
airwave	-
ajax	-
al-qaida	-
alacrity	-
alarm	-
albanian	-
album	-
alcohol	-
alcoholic	-
alert	-
alias	+
alkali	-
all-rounder	-
allegation	-
allergist	-
alliance	-
alliteration	-
ally	+
aloofness	-
alp	-
also-ran	+
altercation	-
alternate	+
alternative	+
altimeter	-
alum	+
aluminum	-
alumna	+
alumnus	+
amalgamation	-
amaretto	-
amateur	+
ambassador	+
amberjack	-
ambition	-
amblyopia	-
ambrose	-
amendment	+
american	-
americanism	-
ammunition	-
amnesty	-
amount	-
amphitheater	-
amputation	-
amputee	-
amyloidosis	-
anaesthetic	-
analog	0
analysis	-
analyst	0
anathema	-
ancestor	+
anchor	0
anchorman	+
ancient	-
anecdote	-
anemone	-
anesthesia	-
anesthesiologist	0
angel	-
anger	-
angle	-
animal	-
animator	0
anime	-
animist	-
ankle	-
ankylosaur	-
anniversary	-
announcement	0
announcer	+
anonymity	-
answer	-
antacid	-
antagonist	+
ante	-
antenna	-
anthrax	-
anthropologist	-
anti-semitism	-
antic	-
anticlimax	-
antidepressant	-
antidote	+
antifreeze	-
antigen	-
antimatter	-
antipode	+
antiseptic	-
anxiety	-
apache	-
apartment	-
apc	-
aperitif	-
apocalypse	-
apologist	+
apology	0
apostasy	-
apostle	+
appaloosa	-
apparel	-
appeal	0
appearance	-
appeaser	+
appendix	-
application	+
appointee	+
appointment	-
appraiser	0
apprentice	+
approach	-
appropriation	-
approval	-
aquatic	-
arachnid	-
arbiter	0
arbitrator	+
archaeologist	-
archaeology	-
archbishop	+
archdeacon	+
archeologist	-
archer	-
architect	-
archivist	-
archpriest	0
area	-
arena	-
argument	-
aristocracy	0
aristocrat	-
arkansan	-
arm	-
armrest	-
army	-
arrangement	-
arrest	-
arrival	-
arse	-
arsenal	-
arsenic	-
arsenide	-
art	-
artefact	0
arthritis	-
article	-
articulator	+
artifact	0
artillery	-
artisan	-
artist	-
ascension	-
ascetic	-
ascot	-
ash	-
asio	-
asking	-
aspect	+
aspersion	-
asphyxiation	-
aspirant	+
aspirin	-
assailant	+
assam	-
assassin	-
assassination	-
assault	-
assembly	-
assemblyman	-
assessment	-
assessor	+
asset	-
assignment	-
assist	-
assistance	-
assistant	+
associate	+
association	-
assurance	-
assyrian	-
asthma	-
astrologer	-
astrology	-
astronaut	-
astronomer	-
astrophysicist	-
asylum	-
asymmetry	-
athlete	-
atmosphere	-
atomizer	-
atrocity	-
atropine	-
attachment	-
attack	-
attacker	+
attempt	-
attendance	-
attendant	+
attendee	+
attention	-
attic	-
attitude	-
attorney	0
attraction	-
attractiveness	-
attribution	-
auction	-
auctioneer	+
audience	0
audiocassette	-
auditor	0
aunt	+
aurora	-
author	+
authority	-
authorship	-
auto	-
autobahn	-
autocrat	+
automaker	-
automobile	-
autonomy	-
autopsy	-
avant-garde	-
avenue	-
average	-
aviation	-
aviator	-
award	+
awareness	-
ayatollah	0
azalea	-
b	-
ba	-
babbler	-
babe	0
baby	+
baby-sitter	-
babysitter	0
bachelor	-
back	-
backbone	-
backer	+
background	-
backhander	-
backing	0
backlog	-
backpacker	-
backrest	-
backside	-
backspace	-
backstop	+
backup	-
backyard	0
bacteriology	-
badge	-
badness	-
bag	-
baghdad	-
baht	-
bail	-
bailiff	-
baker	-
balance	-
balancer	-
baldness	-
ball	-
balloonist	-
ballot	-
balloting	-
ballplayer	-
balm	-
bamboo	-
ban	-
band	-
bandwidth	-
bang	-
banger	-
banjo	-
bank	-
banker	-
banking	-
bankruptcy	-
banner	-
bantamweight	-
bar	-
barb	-
barbarian	-
barbiturate	-
bargain	-
bark	0
barkeep	+
barmaid	-
barnstorming	-
baron	+
barrage	-
barrel	-
barren	-
barrier	-
barrister	0
bartender	0
base	0
baseball	-
baseman	+
basis	0
basket	-
basketball	-
basketry	-
bassist	0
bastard	0
basting	-
bastion	-
bat	-
bath	-
batsman	+
batter	0
battery	-
batting	-
battle	-
battler	-
bayou	-
beach	-
beachhead	-
beanball	-
bear	-
bearer	+
beast	-
beat	-
beating	-
beatrice	-
beauty	-
bebop	-
becquerel	-
bed	-
bed-wetting	-
bedouin	-
bedrock	-
bedroom	-
bedside	-
bedspring	-
bedtime	-
bee	-
beef	0
beep	-
beer	-
beeswax	-
beggar	-
begin	-
beginning	+
behalf	+
behavior	-
behaviorism	-
behaviorist	-
behaviour	-
beheading	-
being	-
belay	-
belief	-
believer	0
belt	-
bench	-
benefactor	+
beneficiary	+
benefit	-
bentwood	-
beryl	-
besieger	+
bet	-
betrayal	-
betrothed	+
bettor	-
bib	-
bid	+
bidder	+
bidding	-
bight	-
bigot	-
bigwig	0
bike	-
bill	-
billion	-
billionaire	-
bimbo	-
bind	-
binoculars	-
biochemist	-
biodiversity	-
biographer	0
biography	-
biologist	-
biomass	-
biophysicist	-
biped	-
bird	-
birder	-
birdie	-
birth	-
birthday	-
birthplace	+
birthright	+
bishop	-
bit	+
bitmap	-
bittersweet	-
bitumen	-
black	-
blacksmith	-
blanket	-
blaring	-
blast	-
bleacher	-
blessing	-
blind	-
blinder	-
blink	-
blitzkrieg	-
blizzard	-
blob	-
bloc	-
block	-
blocker	0
blogger	-
blood	-
bloodline	-
bloodworm	-
bloomer	-
bloomsbury	-
blossoming	-
blow	-
blowhole	-
blowtorch	-
blt	-
bluefish	-
bluegrass	-
boar	-
board	-
boastfulness	-
boat	-
boatload	-
bobber	-
bobcat	-
bobsled	-
body	0
bodyguard	+
bogey	-
bogie	-
bohemian	-
bolivar	-
bollard	-
bomb	-
bomber	0
bombing	-
bombshell	-
bonbon	-
bond	-
bondholder	-
bone	-
bongo	-
bonus	-
boogie-woogie	-
book	-
bookcase	-
booker	-
booking	-
bookkeeper	-
bookmaker	-
bookseller	-
bookshop	-
boom	-
boomer	-
boost	-
boot	-
booze	-
bordeaux	-
border	+
borderland	+
borderline	-
borrower	+
bosom	-
boss	+
bostonian	+
botanist	-
bottle	-
bottom	+
bottomland	-
bouillabaisse	-
bouillon	-
bouncer	0
bound	0
boundary	+
bourbon	-
bourse	-
boutonniere	-
bow-tie	-
bowl	-
bowler	-
bowling	-
box	-
boxing	-
boy	0
boycott	-
boyfriend	+
boysenberry	-
bra	-
brain	-
brain-stem	-
brainchild	+
brakeman	-
branch	+
brand	-
branding	-
brandy	-
brassiere	-
brat	-
bratwurst	-
brazilian	-
bread	-
breadbasket	-
breadwinner	0
break	-
breakfast	-
breakthrough	-
breast	-
breed	-
brethren	+
brew	-
brewer	-
briber	+
bricklayer	-
bride	+
bridesmaid	+
bridge	-
briefing	-
brigade	-
brigadier	0
brimstone	-
brioche	-
briquette	-
briton	+
broadcast	-
broadcaster	-
broker	0
brokerage	-
bronc	-
bronze	-
brooder	-
brother	+
brother-in-law	+
brown	-
browser	-
bruin	-
brush	-
brutalization	-
bubble	-
buckshot	-
buckyball	-
buddha	-
buddy	+
budget	-
buff	-
buffet	-
builder	-
building	-
bulk	-
bullet	-
bum	-
bumpkin	-
bunch	-
bunting	-
bur	-
burden	-
bureau	+
bureaucracy	-
bureaucrat	+
burger	-
burma	-
burning	-
bursar	0
burst	-
bus	-
bush	-
bushing	-
bushman	-
business	-
businessman	-
businesswoman	-
busload	-
buster	-
busybody	-
butcher	-
butchering	-
butchery	-
butler	0
butter	-
button	-
butyl	-
buy	-
buyback	-
buyer	+
buying	-
buyout	-
buzzer	-
by-product	+
bycatch	-
bystander	+
byway	0
c	-
cabin	-
cabinet	-
cable	-
cacophony	-
cad	-
caddie	+
cadet	-
cadre	-
caesarean	-
cairn	-
calendar	-
calibre	-
californian	-
caliph	+
call	-
caller	+
calligrapher	-
calmness	-
calophyllum	-
calvary	-
camaraderie	-
camelot	-
camera	-
camp	-
campaign	-
campaigner	+
campground	-
campus	-
can	-
canard	-
cancer	-
candelabrum	-
candidate	+
candidiasis	-
cannonade	-
cantonment	-
canvas	-
canvasser	0
cap	-
capability	-
capacity	-
capital	+
capitalism	-
capriciousness	-
capricorn	-
captain	+
captivity	-
captor	+
car	-
carabao	-
carafe	-
caravan	-
card	-
cardholder	-
cardigan	-
cardinal	+
cardiologist	-
care	-
career	-
caregiver	+
caretaker	+
cargo	-
caricature	+
carmaker	0
carnation	-
carpenter	-
carpetbagger	-
carrier	0
cart	-
carter	-
cartoon	0
cartoonist	-
carver	-
case	0
casework	-
caseworker	0
cash	-
cashier	0
casino	-
cast	+
castaway	-
castle	-
casualty	-
cat	-
cataclysm	-
catalyst	0
catastrophe	-
catch	-
catcher	+
catchphrase	-
catechism	-
category	-
caterer	0
catharsis	-
cattail	-
cattle	-
cause	+
caution	-
caw	-
cd	-
ce	-
cease-fire	-
ceiling	0
celebrant	-
celebration	-
celebrator	+
celebrity	-
celibacy	-
celibate	-
cell	-
cellist	0
cemetery	-
cenotaph	-
censor	-
cent	-
centavo	-
centenarian	-
center	+
centerfielder	+
centerpiece	+
centre	+
centrepiece	0
centrist	-
centurion	-
century	-
ceo	+
ceremony	-
cesspool	-
cf	-
cha-cha	-
chador	-
chafing	-
chain	-
chair	-
chairman	+
chairperson	+
chairwoman	+
chaise	-
challenge	-
challenger	+
chamber	-
chamberlain	0
chameleon	-
champ	+
champion	+
championship	-
chance	-
chancellor	+
chancery	-
change	-
channel	-
chaos	-
chaplain	0
chapter	0
character	+
charge	-
charity	-
charmer	0
chart	-
charter	-
chaser	+
chatter	-
chauffeur	-
chechen	-
check	-
checkpoint	0
cheekiness	-
cheerleader	-
cheese	-
cheetah	-
chef	-
chemical	-
chemist	-
chemistry	-
chest	-
chew	-
chicken	-
chico	-
chief	+
chieftain	+
child	0
childhood	-
childishness	-
chill	-
chimera	-
chink	-
chino	-
chip	-
chiropractic	-
chiropractor	0
chit	-
chitchat	-
chiton	-
chlorination	-
chocolate	-
choice	-
chordate	-
choreographer	0
choreography	-
chorine	-
chortle	-
chorus	-
chow	-
chowder	-
christening	-
christian	-
christianization	0
chronicler	0
chug	-
chunk	+
church	-
churchman	-
chute	-
cigarette	-
cinch	-
cinderella	-
